tree	subject	relation	object	class
 ( ROOT  ( S  ( NP  ( PRP She )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( NN member )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NNP national )   ( NNP union )  )   ( PP  ( IN of )   ( NP  ( NNP woman )   ( NNPS worker )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP She )  ) 	 ( VBD be ) 	 ( NP  ( DT a )   ( NN member )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD be )   ( NP  ( NP  ( NNP premier )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NN republic )  )   ( PP  ( IN of )   ( NP  ( NNP china )  )  )  )  )  )   ( PP  ( IN from )   ( NP  ( CD 1989 )   ( TO to )   ( CD 1990 )  )  )   ( , , )   ( VP  ( VBG serving )   ( PP  ( IN for )   ( NP  ( NP  ( CD 1 )   ( NN year )  )   ( PP  ( IN under )   ( NP  ( JJ former )   ( NNP president )   ( NNP lee )   ( NNP Teng-hui )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( NNP premier )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NN republic )  )   ( PP  ( IN of )   ( NP  ( NNP china )  )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD played )   ( NP  ( DT the )   ( NN healer )  )   ( NP  ( NP  ( NNP Goggins )  )   ( SBAR  ( WHNP  ( WP who )  )   ( S  ( VP  ( VBZ be )   ( NP  ( DT a )   ( NNP Draenei )   ( NN shaman )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD played ) 	 ( NP  ( DT the )   ( NN healer )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP LaBrocca )  )   ( VP  ( VBD scored )   ( NP  ( PRP$ his )   ( JJ first )   ( NN goal )  )   ( PP  ( IN for )   ( NP  ( DT the )   ( NN club )  )  )   ( PP  ( IN in )   ( NP  ( NP  ( DT a )   ( CD 4-1 )   ( NN home )   ( NN victory )  )   ( PP  ( CC vs. )   ( NP  ( NNP chicago )   ( NNP fire )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP LaBrocca )  ) 	 ( VBD scored ) 	 ( PP  ( IN for )   ( NP  ( DT the )   ( NN club )  )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NN candy )   ( NN trail )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT a )   ( CD 1916 )   ( JJ silent )   ( NN comedy )   ( NN film )  )   ( VP  ( VBG featuring )   ( NP  ( NNP oliver )   ( NNP hardy )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NN candy )   ( NN trail )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( CD 1916 )   ( JJ silent )   ( NN comedy )   ( NN film )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NN candy )   ( NN trail )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT a )   ( CD 1916 )   ( JJ silent )   ( NN comedy )   ( NN film )  )   ( VP  ( VBG featuring )   ( NP  ( NNP oliver )   ( NNP hardy )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NN candy )   ( NN trail )  ) 	 ( VBZ be ) 	 ( NP  ( NP  ( DT a )   ( CD 1916 )   ( JJ silent )   ( NN comedy )   ( NN film )  )   ( VP  ( VBG featuring )   ( NP  ( NNP oliver )   ( NNP hardy )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD be )   ( UCP  ( S  ( VP  ( VP  ( VBN made )   ( NP  ( NP  ( DT an )   ( NNP officer )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NN order )  )   ( PP  ( IN of )   ( NP  ( NNP australia )  )  )  )  )  )   ( PP  ( PP  ( IN in )   ( NP  ( NP  ( DT the )   ( NNP australia )   ( NNP day )   ( NNS honours )  )   ( PP  ( IN of )   ( NP  ( CD 2003 )  )  )  )  )   ( CC and )   ( PP  ( IN for )   ( NP  ( NP  ( NN service )  )   ( PP  ( PP  ( TO to )   ( NP  ( DT the )   ( JJ Australian )   ( NNP labor )   ( NNP party )  )  )   ( CC and )   ( PP  ( TO to )   ( NP  ( NNS politics )  )  )  )  )  )  )   ( PP  ( IN through )   ( NP  ( NP  ( DT the )   ( NN introduction )  )   ( PP  ( IN of )   ( NP  ( JJ modern )   ( NN campaign )   ( NNS technique )  )  )  )  )  )   ( CC and )   ( VP  ( VBG fundraising )   ( NP  ( NP  ( NNS protocol )  )   ( PP  ( IN for )   ( NP  ( NP  ( DT all )   ( JJ political )   ( NNS party )  )   ( CC and )   ( NP  ( JJ affirmative )   ( NN action )   ( NNS guideline )  )  )  )  )   ( CC and )  )  )  )   ( CC and )   ( PP  ( IN by )   ( S  ( VP  ( VBG strengthening )   ( NP  ( NP  ( DT the )   ( NN party )   ( POS s )  )   ( ADJP  ( JJ organisational )   ( CC and )   ( JJ financial )  )   ( NN structure )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT an )   ( NNP officer )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NN order )  )   ( PP  ( IN of )   ( NP  ( NNP australia )  )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VP  ( VBD fathered )   ( NP  ( NP  ( CD 2 )   ( NNS child )  )   ( CC and )   ( NP  ( NNP Edna )   ( CC and )   ( NNP Donald )  )  )  )   ( CC and )   ( VP  ( ADVP  ( CC and )  )   ( VBD lived )   ( PP  ( IN in )   ( NP  ( NNP aberdeen )  )  )   ( PP  ( IN until )   ( NP  ( NP  ( PRP$ his )   ( NN death )  )   ( PP  ( IN from )   ( NP  ( NP  ( NN tuberculosis )  )   ( PP  ( IN in )   ( NP  ( CD 1942 )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD lived ) 	 ( PP  ( IN in )   ( NP  ( NNP aberdeen )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP They )  )   ( VP  ( VBP seek )   ( NP  ( NN help )  )   ( PP  ( IN from )   ( NP  ( DT a )   ( NN prisoner )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP They )  ) 	 ( VBP seek ) 	 ( NP  ( NN help )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Bryant )  )   ( VP  ( VP  ( VBD committed )   ( NP  ( NN suicide )  )   ( PP  ( IN by )   ( S  ( VP  ( VBG falling )   ( PRT  ( RP off )  )   ( NP  ( DT a )   ( NX  ( NX  ( NP  ( NN ferry )  )   ( PP  ( IN into )   ( NP  ( NNP San )   ( NNP Francisco )   ( NNP bay )  )  )  )   ( CC and )  )  )  )  )  )  )   ( CC and )   ( VP  ( VBD drowned )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Bryant )  ) 	 ( VBD committed ) 	 ( NP  ( NN suicide )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NNP Sulaimani )  )  )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT a )   ( JJ public )   ( NN university )  )   ( ADJP  ( JJ located )   ( PP  ( IN in )   ( NP  ( NP  ( DT the )   ( NN city )  )   ( PP  ( IN of )   ( NP  ( NP  ( NNP Sulaymaniyah )  )   ( PP  ( IN in )   ( NP  ( NNP kurdistan )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NP  ( DT The )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NNP Sulaimani )  )  )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( JJ public )   ( NN university )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP casanova )   ( NNP brown )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( NP  ( DT a )   ( CD 1944 )   ( NN film )  )   ( VP  ( VBG starring )   ( NP  ( NP  ( NNP gary )   ( NNP cooper )  )   ( CC and )   ( NP  ( NNP teresa )   ( NNP wright )  )  )   ( CC and )  )  )   ( CC and )   ( NP  ( NNP frank )   ( NNP morgan )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP casanova )   ( NNP brown )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( CD 1944 )   ( NN film )  ) 	1
 ( ROOT  ( S  ( NP  ( CD Ten )   ( NNP Heuvel )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( JJR older )   ( NN brother )  )   ( PP  ( IN of )   ( NP  ( NP  ( NNP Arturo )   ( CD 10 )  )   ( NP  ( NNP Heuvel )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( CD Ten )   ( NNP Heuvel )  ) 	 ( VBZ be ) 	 ( NP  ( DT the )   ( JJR older )   ( NN brother )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Soubry )  )   ( VP  ( VBD graduated )   ( PP  ( IN in )   ( NP  ( NN law )  )  )   ( PP  ( IN from )   ( NP  ( NP  ( DT the )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NNP birmingham )  )  )  )  )   ( PP  ( IN in )   ( NP  ( CD 1979 )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Soubry )  ) 	 ( VBD graduated ) 	 ( PP  ( IN in )   ( NP  ( NN law )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Soubry )  )   ( VP  ( VBD graduated )   ( PP  ( IN in )   ( NP  ( NN law )  )  )   ( PP  ( IN from )   ( NP  ( NP  ( DT the )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NNP birmingham )  )  )  )  )   ( PP  ( IN in )   ( NP  ( CD 1979 )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Soubry )  ) 	 ( VBD graduated ) 	 ( PP  ( IN in )   ( NP  ( CD 1979 )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP georgia )  )   ( VP  ( VP  ( VBZ regards )   ( NP  ( DT the )   ( NNP abkhaz )   ( JJ armed )   ( NNS force )  )   ( PP  ( IN as )   ( NP  ( JJ unlawful )   ( JJ military )   ( NNS formation )  )  )  )   ( CC and )   ( VP  ( VBZ accuses )   ( NP  ( NP  ( NP  ( NNP russia )  )   ( PP  ( IN of )   ( S  ( VP  ( VBG supplying )   ( CC and )   ( VBG training )   ( NP  ( DT the )   ( NNP abkhaz )   ( NNS troops )  )  )  )  )  )   ( CC or )   ( ADVP  ( RB partly )   ( PP  ( IN in )   ( NP  ( NP  ( NN exchange )  )   ( PP  ( IN for )   ( NP  ( NNP abkhaz )  )  )  )  )  )   ( NP  ( NP  ( NN land )  )   ( CC or )   ( NP  ( NNS hotel )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP georgia )  ) 	 ( VBZ accuses ) 	 ( NP  ( NP  ( NNP russia )  )   ( PP  ( IN of )   ( S  ( VP  ( VBG supplying )   ( CC and )   ( VBG training )   ( NP  ( DT the )   ( NNP abkhaz )   ( NNS troops )  )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP georgia )  )   ( VP  ( VP  ( VBZ regards )   ( NP  ( DT the )   ( NNP abkhaz )   ( JJ armed )   ( NNS force )  )   ( PP  ( IN as )   ( NP  ( JJ unlawful )   ( JJ military )   ( NNS formation )  )  )  )   ( CC and )   ( VP  ( VBZ accuses )   ( NP  ( NP  ( NP  ( NNP russia )  )   ( PP  ( IN of )   ( S  ( VP  ( VBG supplying )   ( CC and )   ( VBG training )   ( NP  ( DT the )   ( NNP abkhaz )   ( NNS troops )  )  )  )  )  )   ( CC or )   ( ADVP  ( RB partly )   ( PP  ( IN in )   ( NP  ( NP  ( NN exchange )  )   ( PP  ( IN for )   ( NP  ( NNP abkhaz )  )  )  )  )  )   ( NP  ( NP  ( NN land )  )   ( CC or )   ( NP  ( NNS hotel )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP georgia )  ) 	 ( VBZ accuses ) 	 ( NP  ( NNP russia )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBZ be )   ( ADVP  ( RB also )  )   ( NP  ( NP  ( NP  ( DT an )   ( JJ accomplished )   ( NN musician )  )   ( CC and )   ( NP  ( NN songwriter )  )  )   ( CC and )   ( NP  ( NP  ( NNS front )  )   ( NP  ( NP  ( PRP$ his )   ( JJ own )   ( NN band )  )   ( , , )   ( NP  ( CD Ten )   ( NNP Athlone )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBZ be ) 	 ( NP  ( NN songwriter )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NN show )  )   ( VP  ( VBD won )   ( NP  ( DT an )   ( NNP emmy )   ( NN award )  )   ( PP  ( IN in )   ( NP  ( NP  ( DT the )   ( NN category )  )   ( PP  ( IN of )   ( NP  ( NP  ( JJ Special )   ( NN classification )  )   ( PP  ( IN of )   ( NP  ( JJ Outstanding )   ( NN program )   ( NNS achievement )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NN show )  ) 	 ( VBD won ) 	 ( NP  ( DT an )   ( NNP emmy )   ( NN award )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD held )   ( NP  ( DT the )   ( NN seat )  )   ( PP  ( IN until )   ( NP  ( PRP$ his )   ( NN retirement )  )  )   ( PP  ( IN in )   ( NP  ( CD 1987 )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD held ) 	 ( NP  ( DT the )   ( NN seat )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Yun )   ( NNP jung )   ( NNP Hoon )  )   ( VP  ( VBZ be )   ( NP  ( DT a )   ( JJ Korean )   ( NN actor )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Yun )   ( NNP jung )   ( NNP Hoon )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( JJ Korean )   ( NN actor )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Lawson )  )   ( VP  ( VBD be )   ( NP  ( NP  ( NP  ( DT the )   ( JJ sole )   ( JJ black )   ( NN member )  )   ( PP  ( IN of )   ( NP  ( DT the )   ( NNP homebrew )   ( NNP computer )   ( NNP club )  )  )  )   ( CC and )   ( NP  ( NP  ( DT a )   ( NN group )  )   ( PP  ( IN of )   ( NP  ( JJ early )   ( NN computer )   ( NNS hobbyist )  )  )   ( UCP  ( SBAR  ( WHNP  ( WDT which )  )   ( S  ( VP  ( MD would )   ( VP  ( VB produce )   ( NP  ( NP  ( DT a )   ( NN number )  )   ( PP  ( IN of )   ( NP  ( NN industry )   ( NNS legend )  )  )  )  )  )  )  )   ( CC and )   ( PP  ( VBG including )   ( NP  ( NNP apple )   ( NNS founder )   ( NNP Steve )   ( NNP job )   ( CC and )   ( NNP Steve )   ( NNP Wozniak )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Lawson )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT the )   ( JJ sole )   ( JJ black )   ( NN member )  )   ( PP  ( IN of )   ( NP  ( DT the )   ( NNP homebrew )   ( NNP computer )   ( NNP club )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Lawson )  )   ( VP  ( VBD be )   ( NP  ( NP  ( NP  ( DT the )   ( JJ sole )   ( JJ black )   ( NN member )  )   ( PP  ( IN of )   ( NP  ( DT the )   ( NNP homebrew )   ( NNP computer )   ( NNP club )  )  )  )   ( CC and )   ( NP  ( NP  ( DT a )   ( NN group )  )   ( PP  ( IN of )   ( NP  ( JJ early )   ( NN computer )   ( NNS hobbyist )  )  )   ( UCP  ( SBAR  ( WHNP  ( WDT which )  )   ( S  ( VP  ( MD would )   ( VP  ( VB produce )   ( NP  ( NP  ( DT a )   ( NN number )  )   ( PP  ( IN of )   ( NP  ( NN industry )   ( NNS legend )  )  )  )  )  )  )  )   ( CC and )   ( PP  ( VBG including )   ( NP  ( NNP apple )   ( NNS founder )   ( NNP Steve )   ( NNP job )   ( CC and )   ( NNP Steve )   ( NNP Wozniak )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Lawson )  ) 	 ( VBD be ) 	 ( NP  ( DT the )   ( JJ sole )   ( JJ black )   ( NN member )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP zimmer )  )   ( VP  ( VBD ran )   ( PP  ( IN for )   ( NP  ( NP  ( NNP mayor )  )   ( PP  ( IN of )   ( NP  ( NNP Hoboken )  )  )  )  )   ( PP  ( IN in )   ( NP  ( CD 2009 )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP zimmer )  ) 	 ( VBD ran ) 	 ( PP  ( IN for )   ( NP  ( NP  ( NNP mayor )  )   ( PP  ( IN of )   ( NP  ( NNP Hoboken )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP zimmer )  )   ( VP  ( VBD ran )   ( PP  ( IN for )   ( NP  ( NP  ( NNP mayor )  )   ( PP  ( IN of )   ( NP  ( NNP Hoboken )  )  )  )  )   ( PP  ( IN in )   ( NP  ( CD 2009 )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP zimmer )  ) 	 ( VBD ran ) 	 ( PP  ( IN in )   ( NP  ( CD 2009 )  )  ) 	1
