@relation rillof.triples.sentences.txt-weka.filters.unsupervised.attribute.NumericToBinary-R5

@attribute tree string
@attribute subject string
@attribute relation string
@attribute object string
@attribute class_binarized {0,1}

@data
' ( ROOT ( FRAG ( NP ( NP ( NN family ) ( NN lamiaceae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ',' ( VB Resembling ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',0
' ( ROOT ( FRAG ( NP ( NP ( NN family ) ( NN lamiaceae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ',' ( VB Yielding ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN labiatae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Resembling ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN labiatae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Yielding ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN lamiaceae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ',' ( VB Resembling ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',0
' ( ROOT ( FRAG ( NP ( NP ( NN lamiaceae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ',' ( VB Yielding ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN mint ) ( NN family ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Resembling ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN mint ) ( NN family ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Yielding ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN para ) ) ( SBAR ( S ( NP ( FW i ) ) ( VP ( VBZ be ) ( NP ( NP ( NN woman ) ) ( SBAR ( WHNP ( WP who ) ) ( S ( VP ( VBZ has ) ( VP ( VBN be ) ( VP ( VBN delivered ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN child ) ) ( PP ( IN for ) ( NP ( DT the ) ( JJ first ) ( NN time ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NP ( DT a ) ( NN child ) ) ( PP ( IN for ) ( NP ( DT the ) ( JJ first ) ( NN time ) ) ) ) ',' ( VB Delivered ) ',' ( NP ( NN thing ) ) ',0
' ( ROOT ( FRAG ( NP ( NP ( NN peter ) ) ( SBAR ( S ( NP ( FW i ) ) ( VP ( VBZ be ) ( NP ( NP ( NN czar ) ) ( PP ( IN of ) ( NP ( NNP russia ) ) ) ( SBAR ( WHNP ( WP who ) ) ( S ( VP ( VBD introduced ) ( NP ( NNS idea ) ) ( PP ( IN from ) ( NP ( JJ western ) ( NNP europe ) ) ) ( S ( VP ( TO to ) ( VP ( VB reform ) ( NP ( DT the ) ( NN government ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( DT the ) ( NN government ) ) ',' ( VB Reform ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( S ( VP ( NN fell ) ( VP ( VBZ be ) ( NP ( NP ( NP ( NN seam ) ) ( VP ( VBN made ) ( PP ( IN by ) ( S ( VP ( VBG turning ) ( PP ( IN under ) ) ) ) ) ) ) ( CC or ) ( NP ( NP ( JJ folding ) ) ( UCP ( ADVP ( RB together ) ) ( CC and ) ( VP ( VBG stitching ) ( NP ( DT the ) ( JJ seamed ) ( NNS material ) ) ( S ( VP ( TO to ) ( VP ( VB avoid ) ( NP ( JJ rough ) ( NNS edge ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( JJ rough ) ( NNS edge ) ) ',' ( VB Avoid ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( S ( VP ( NN fell ) ( VP ( VBZ be ) ( NP ( NP ( NP ( NN seam ) ) ( VP ( VBN made ) ( PP ( IN by ) ( S ( VP ( VBG turning ) ( PP ( IN under ) ) ) ) ) ) ) ( CC or ) ( NP ( NP ( JJ folding ) ) ( UCP ( ADVP ( RB together ) ) ( CC and ) ( VP ( VBG stitching ) ( NP ( DT the ) ( JJ seamed ) ( NNS material ) ) ( S ( VP ( TO to ) ( VP ( VB avoid ) ( NP ( JJ rough ) ( NNS edge ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( JJ rough ) ( NNS edge ) ) ',' ( VB Made ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( VP ( VBD be ) ( VP ( VBN aimed ) ( PP ( IN at ) ( NP ( NN target ) ) ) ) ) ) ) ',' ( NP ( NN target ) ) ',' ( VB Aimed ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( NP ( NP ( NNP Frauke ) ( NNP Petersen ) ( NNP Haasemann ) ) ( CC and ) ( NP ( NP ( DT the ) ( NN assistant ) ( NN conductor ) ) ( PP ( IN of ) ( NP ( NP ( DT the ) ( NNP westminster ) ( NNP choir ) ( CC and ) ( NN professor ) ) ( PP ( IN of ) ( NP ( VBG conducting ) ) ) ( PP ( IN at ) ( NP ( DT the ) ( NNP westminster ) ( NNP choir ) ( NNP college ) ) ) ) ) ) ( CC and ) ( VP ( VBD died ) ( NP ( JJ last ) ( NNP friday ) ) ( PP ( IN at ) ( NP ( NP ( PRP$ her ) ( NN home ) ) ( PP ( IN in ) ( NP ( NP ( NNP princeton ) ) ( CC and ) ( NNP n.j. ) ) ) ) ) ) ) ) ',' ( NP ( NNP Frauke ) ( NNP Petersen ) ( NNP Haasemann ) ) ',' ( VBD died ) ',' ( NP ( JJ last ) ( NNP friday ) ) ',1
' ( ROOT ( NP ( NP ( NP ( DT A ) ( NN sequel ) ) ( CC and ) ( PP ( IN in ) ( NP ( NN name ) ( NP ( RB only ) ( CC and ) ( VP ( VP ( VBN called ) ( S ( NP ( NP ( NN return ) ) ( PP ( IN of ) ( NP ( DT the ) ( NN ape ) ( NN man ) ) ) ) ) ) ( CC and ) ( VP ( VBD followed ) ( PP ( IN in ) ( NP ( NP ( CD 1944 ) ) ( CC and ) ( NP ( CD 1 ) ( NN year ) ) ) ) ( PP ( ADVP ( RB later ) ) ( IN after ) ( NP ( DT this ) ( NN film ) ) ) ) ( CC and ) ( VP ( VP ( VBD starred ) ( NP ( NP ( NNP Bela ) ( NNP lugosi ) ) ( CC and ) ( NP ( NNP john ) ( NNP Carradine ) ) ) ) ( CC and ) ( NP ( NNP george ) ( NNP Zucco ) ) ) ) ) ) ) ) ( . . ) ) ) ',' ( NP ( DT A ) ( NN sequel ) ) ',' ( VBZ be ) ',' ( PP ( IN in ) ( NP ( NN name ) ( NP ( RB only ) ( CC and ) ( VP ( VP ( VBN called ) ( S ( NP ( NP ( NN return ) ) ( PP ( IN of ) ( NP ( DT the ) ( NN ape ) ( NN man ) ) ) ) ) ) ( CC and ) ( VP ( VBD followed ) ( PP ( IN in ) ( NP ( NP ( CD 1944 ) ) ( CC and ) ( NP ( CD 1 ) ( NN year ) ) ) ) ( PP ( ADVP ( RB later ) ) ( IN after ) ( NP ( DT this ) ( NN film ) ) ) ) ( CC and ) ( VP ( VP ( VBD starred ) ( NP ( NP ( NNP Bela ) ( NNP lugosi ) ) ( CC and ) ( NP ( NNP john ) ( NNP Carradine ) ) ) ) ( CC and ) ( NP ( NNP george ) ( NNP Zucco ) ) ) ) ) ) ) ',0
' ( ROOT ( NP ( NP ( NP ( JJ civil ) ( NNS right ) ) ( SBAR ( S ( NP ( NN movement ) ) ( VP ( VP ( VBZ be ) ( NP ( NP ( NN movement ) ) ( PP ( IN in ) ( NP ( DT the ) ( NNP United ) ( NNPS state ) ) ) ( VP ( VBG beginning ) ( PP ( IN in ) ( NP ( DT the ) ( NNS 1960s ) ) ) ) ) ) ( CC and ) ( VP ( VBD led ) ( ADVP ( RB primarily ) ) ( PP ( IN by ) ( NP ( NNPS black ) ) ) ) ) ) ) ) ( PP ( IN in ) ( NP ( DT an ) ( NN effort ) ( S ( VP ( TO to ) ( VP ( VB establish ) ( NP ( NP ( DT the ) ( JJ civil ) ( NNS right ) ) ( PP ( IN of ) ( NP ( JJ individual ) ( JJ Black ) ( NNS citizen ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( JJ civil ) ( NNS right ) ) ( PP ( IN of ) ( NP ( JJ individual ) ( JJ Black ) ( NNS citizen ) ) ) ) ',' ( VB Establish ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',0
' ( ROOT ( S ( ADVP ( RB Rather ) ( PP ( IN than ) ( NP ( NP ( NN resort ) ) ( PP ( TO to ) ( NP ( DT the ) ( JJ usual ) ( NN bunker ) ( NN mentality ) ) ) ) ) ) ( , , ) ( NP ( PRP he ) ) ( VP ( VBD tried ) ( NP ( DT a ) ( RBR more ) ( JJ practical ) ( NN approach ) ) ) ( . . ) ) ) ',' ( NP ( PRP he ) ) ',' ( VBD tried ) ',' ( NP ( DT a ) ( RBR more ) ( JJ practical ) ( NN approach ) ) ',1
' ( ROOT ( S ( ADVP ( RB Similarly ) ) ( , , ) ( NP ( PRP he ) ) ( ADVP ( RB only ) ) ( VP ( VBD rejoined ) ( NP ( DT the ) ( NNP Bundestag ) ) ( PP ( IN after ) ( NP ( NP ( NP ( DT the ) ( JJ next ) ( NNS election ) ) ( PP ( IN as ) ( NP ( NN replacement ) ( NN candidate ) ) ) ) ( PP ( PP ( IN from ) ( NP ( CD 1964 ) ) ) ( PP ( TO to ) ( NP ( CD 1969 ) ) ) ) ) ) ) ( . . ) ) ) ',' ( NP ( PRP he ) ) ',' ( VBD rejoined ) ',' ( NP ( DT the ) ( NNP Bundestag ) ) ',1
' ( ROOT ( S ( CC But ) ( NP ( NNP Aftonbladet ) ) ( VP ( VBD said ) ( SBAR ( S ( NP ( NNP Chatty ) ) ( VP ( VBD be ) ( VP ( VBN interviewed ) ( PP ( PP ( IN by ) ( NP ( NP ( DT the ) ( NN police ) ) ( PP ( IN after ) ( NP ( NNP sept ) ( CD 11 ) ) ) ) ) ( CC and ) ( ADVP ( RB subsequently ) ) ) ) ) ) ) ) ( VP ( VBD made ) ( NP ( NP ( DT a ) ( NN pilgrimage ) ) ( PP ( TO to ) ( NP ( NNP mecca ) ) ) ) ) ( . . ) ) ) ',' ( NP ( NNP Aftonbladet ) ) ',' ( VBD made ) ',' ( NP ( NP ( DT a ) ( NN pilgrimage ) ) ( PP ( TO to ) ( NP ( NNP mecca ) ) ) ) ',1
' ( ROOT ( S ( CC But ) ( NP ( NP ( DT the ) ( NN poverty ) ( NN rate ) ) ( PP ( IN for ) ( NP ( NP ( NNS people ) ) ( QP ( CD 18 ) ( TO to ) ( CD 64 ) ) ) ) ) ( VP ( VBD rose ) ( NP ( DT a ) ( JJ half ) ( NN percentage ) ( NN point ) ) ( , , ) ( PP ( TO to ) ( NP ( CD 10.1 ) ( NN percent ) ) ) ) ( . . ) ) ) ',' ( NP ( NP ( DT the ) ( NN poverty ) ( NN rate ) ) ( PP ( IN for ) ( NP ( NP ( NNS people ) ) ( QP ( CD 18 ) ( TO to ) ( CD 64 ) ) ) ) ) ',' ( VBD rose ) ',' ( NP ( DT a ) ( JJ half ) ( NN percentage ) ( NN point ) ) ',1
' ( ROOT ( S ( NP ( DT An ) ( NNS honours ) ( NN year ) ) ( ADVP ( RB quickly ) ) ( VP ( VBD followed ) ( CC and ) ( CC and ) ( SBAR ( S ( NP ( NNP Titterton ) ) ( VP ( VBD topped ) ( NP ( DT the ) ( NN year ) ) ( PP ( IN in ) ( NP ( NN physics ) ) ) ) ) ) ) ( . . ) ) ) ',' ( NP ( NNP Titterton ) ) ',' ( VBD topped ) ',' ( NP ( DT the ) ( NN year ) ) ',1
' ( ROOT ( S ( NP ( DT That ) ) ( VP ( VBD pushed ) ( NP ( DT the ) ( NN unemployment ) ( NN rate ) ) ( PP ( TO to ) ( NP ( CD 12.5 ) ( NN percent ) ) ) ( , , ) ( PP ( IN from ) ( NP ( NP ( CD 12.4 ) ( NN percent ) ) ( PP ( IN in ) ( NP ( NNP may ) ) ) ) ) ) ( . . ) ) ) ',' ( NP ( DT That ) ) ',' ( VBD pushed ) ',' ( NP ( DT the ) ( NN unemployment ) ( NN rate ) ) ',1
